painting_name,folder,group_label,rms_accel,rms_jerk,rms_gyro,dominant_freq_hz,freq_strength,duration_s,std_accel,max_accel,std_jerk,max_jerk,std_gyro,max_gyro,accel_peak_count,gyro_peak_count,accel_zero_crossings,gyro_accel_ratio,prompt,negative_prompt
Gesture as a brush 2026-03-14 09-33-10,./data/heart/Gesture as a brush 2026-03-14 09-33-10,heart,14.362187363047838,193.3628670483712,3.5934483411648275,0.543511122615391,6.556210216967374,18.23409967,5.780646446677651,38.98461798890495,193.3628669919151,2156.5042163948337,1.4799848552517023,8.408247552455297,156.0,162.0,76.0,0.250202023555279,"abstract hand-painted acrylic painting on canvas, visible brush strokes, rich paint texture, expressive abstract composition, painterly, no objects, no figures, no text, no lettering, bold saturated colors, heavy impasto thick paint, high contrast, energetic expressive strokes, fragmented brush marks, sharp broken edges, paint splatter texture, glitch-like fragmentation but painterly, circular swirling composition, spiral brush motion, radial energy around a center, subtle rhythmic structure around 0.54 Hz, some repeated motifs","photorealistic, realistic, portrait, faces, people, text, typography, watermark, logo, 3d render, cartoon, anime, low quality, blurry"
Gesture as a brush 2026-03-14 09-34-27,./data/heart/Gesture as a brush 2026-03-14 09-34-27,heart,11.872780106165482,158.18449172223197,2.8373059993969076,1.5350328690074881,6.5431464122373555,23.300860625000002,5.470441472174281,38.29540770391893,158.18448924017386,1527.6203703523158,1.2867497142944677,7.93594041962552,221.0,197.0,116.0,0.23897570525074674,"abstract hand-painted acrylic painting on canvas, visible brush strokes, rich paint texture, expressive abstract composition, painterly, no objects, no figures, no text, no lettering, bold saturated colors, heavy impasto thick paint, high contrast, energetic expressive strokes, fragmented brush marks, sharp broken edges, paint splatter texture, glitch-like fragmentation but painterly, circular swirling composition, spiral brush motion, radial energy around a center, subtle rhythmic structure around 1.54 Hz, some repeated motifs","photorealistic, realistic, portrait, faces, people, text, typography, watermark, logo, 3d render, cartoon, anime, low quality, blurry"
Gesture as a brush 2026-03-14 09-35-00,./data/heart/Gesture as a brush 2026-03-14 09-35-00,heart,13.450723265527476,219.67753514862187,3.357713721888547,2.3551282631493877,5.351828445460189,19.215562211667002,5.742034791432667,43.225792081174404,219.6775347754078,2494.8063383651474,1.5861970654736988,8.604594150387038,177.0,88.0,86.0,0.24963071913346976,"abstract hand-painted acrylic painting on canvas, visible brush strokes, rich paint texture, expressive abstract composition, painterly, no objects, no figures, no text, no lettering, bold saturated colors, heavy impasto thick paint, high contrast, energetic expressive strokes, fragmented brush marks, sharp broken edges, paint splatter texture, glitch-like fragmentation but painterly, circular swirling composition, spiral brush motion, radial energy around a center, subtle rhythmic structure around 2.36 Hz, some repeated motifs","photorealistic, realistic, portrait, faces, people, text, typography, watermark, logo, 3d render, cartoon, anime, low quality, blurry"
Gesture as a brush 2026-03-14 09-35-37,./data/heart/Gesture as a brush 2026-03-14 09-35-37,heart,11.761085807873016,169.73305142185296,2.4261374634854187,2.045122910182487,4.848936356199099,19.3157037483341,5.093669278238567,31.919203213184236,169.73304891571058,2178.278158761946,1.2875879247103974,10.604986646380896,174.0,160.0,130.0,0.20628515962829275,"abstract hand-painted acrylic painting on canvas, visible brush strokes, rich paint texture, expressive abstract composition, painterly, no objects, no figures, no text, no lettering, bold saturated colors, heavy impasto thick paint, high contrast, energetic expressive strokes, fragmented brush marks, sharp broken edges, paint splatter texture, glitch-like fragmentation but painterly, circular swirling composition, spiral brush motion, radial energy around a center, subtle rhythmic structure around 2.05 Hz, some repeated motifs","photorealistic, realistic, portrait, faces, people, text, typography, watermark, logo, 3d render, cartoon, anime, low quality, blurry"
Gesture as a brush 2026-03-14 09-36-06,./data/heart/Gesture as a brush 2026-03-14 09-36-06,heart,12.29903354741916,180.6445558927828,2.7589536877752576,2.0015445021677714,8.018375331557923,16.822418666666998,5.076696982212652,36.13305192465546,180.64455550106481,1726.3659868156903,1.5596491410838529,11.122205483558883,151.0,78.0,90.0,0.22432280365068816,"abstract hand-painted acrylic painting on canvas, visible brush strokes, rich paint texture, expressive abstract composition, painterly, no objects, no figures, no text, no lettering, bold saturated colors, heavy impasto thick paint, high contrast, energetic expressive strokes, fragmented brush marks, sharp broken edges, paint splatter texture, glitch-like fragmentation but painterly, circular swirling composition, spiral brush motion, radial energy around a center, rhythmic repetition around 2.00 Hz, layered repeating brush patterns","photorealistic, realistic, portrait, faces, people, text, typography, watermark, logo, 3d render, cartoon, anime, low quality, blurry"
Gesture as a brush 2026-03-14 09-36-45,./data/heart/Gesture as a brush 2026-03-14 09-36-45,heart,13.8502874160146,203.68095459161168,4.294866935156809,2.0806285162620437,5.962289121466457,19.015426378333,6.070106677118775,33.10139175989667,203.68092490931295,1543.3488800098776,1.8906834593116175,10.641242543978718,138.0,69.0,86.0,0.3100922606039722,"abstract hand-painted acrylic painting on canvas, visible brush strokes, rich paint texture, expressive abstract composition, painterly, no objects, no figures, no text, no lettering, bold saturated colors, heavy impasto thick paint, high contrast, energetic expressive strokes, fragmented brush marks, sharp broken edges, paint splatter texture, glitch-like fragmentation but painterly, circular swirling composition, spiral brush motion, radial energy around a center, subtle rhythmic structure around 2.08 Hz, some repeated motifs","photorealistic, realistic, portrait, faces, people, text, typography, watermark, logo, 3d render, cartoon, anime, low quality, blurry"
Gesture as a brush 2026-03-14 09-37-27,./data/heart/Gesture as a brush 2026-03-14 09-37-27,heart,14.842348764359647,229.37593208028397,3.928651456046343,2.7523318571490814,5.059544678219901,20.057076333333,5.638596684259303,40.59384519987097,229.37593102470086,1816.7061803273898,1.6022378314095969,10.430483317108985,155.0,156.0,108.0,0.26469203211390424,"abstract hand-painted acrylic painting on canvas, visible brush strokes, rich paint texture, expressive abstract composition, painterly, no objects, no figures, no text, no lettering, bold saturated colors, heavy impasto thick paint, high contrast, energetic expressive strokes, fragmented brush marks, sharp broken edges, paint splatter texture, glitch-like fragmentation but painterly, circular swirling composition, spiral brush motion, radial energy around a center, subtle rhythmic structure around 2.75 Hz, some repeated motifs","photorealistic, realistic, portrait, faces, people, text, typography, watermark, logo, 3d render, cartoon, anime, low quality, blurry"
Gesture as a brush 2026-03-14 09-37-56,./data/heart/Gesture as a brush 2026-03-14 09-37-56,heart,14.261616639751576,241.73813428424802,3.6493170199594718,0.22306841871931204,5.733976732239525,19.4462046666665,5.8815824483419155,41.72529478059248,241.73813418203315,1966.9183688838502,1.9254674057940722,9.880245600505877,174.0,159.0,74.0,0.25588382522720476,"abstract hand-painted acrylic painting on canvas, visible brush strokes, rich paint texture, expressive abstract composition, painterly, no objects, no figures, no text, no lettering, bold saturated colors, heavy impasto thick paint, high contrast, energetic expressive strokes, fragmented brush marks, sharp broken edges, paint splatter texture, glitch-like fragmentation but painterly, circular swirling composition, spiral brush motion, radial energy around a center, subtle rhythmic structure around 0.22 Hz, some repeated motifs","photorealistic, realistic, portrait, faces, people, text, typography, watermark, logo, 3d render, cartoon, anime, low quality, blurry"
Gesture as a brush 2026-03-14 09-38-31,./data/heart/Gesture as a brush 2026-03-14 09-38-31,heart,15.77829927021981,170.13281028214982,3.2869671469724997,1.6715593828899982,7.565766188152125,16.1419859550003,7.832892646583283,41.70357716771843,170.13280980411565,1021.6656756176866,1.6270015905731223,9.908655410899437,162.0,161.0,98.0,0.20832201813842174,"abstract hand-painted acrylic painting on canvas, visible brush strokes, rich paint texture, expressive abstract composition, painterly, no objects, no figures, no text, no lettering, bold saturated colors, heavy impasto thick paint, high contrast, energetic expressive strokes, fragmented brush marks, sharp broken edges, paint splatter texture, glitch-like fragmentation but painterly, circular swirling composition, spiral brush motion, radial energy around a center, subtle rhythmic structure around 1.67 Hz, some repeated motifs","photorealistic, realistic, portrait, faces, people, text, typography, watermark, logo, 3d render, cartoon, anime, low quality, blurry"
Gesture as a brush 2026-03-14 09-39-13,./data/heart/Gesture as a brush 2026-03-14 09-39-13,heart,12.977219852652206,158.49704917689482,3.2342866511801978,2.081625388613446,7.189472484471445,21.549443586666,5.662598743205668,34.81194320318948,158.49704809523539,1806.580102052653,1.5298258585527333,7.844013344710622,178.0,190.0,86.0,0.2492280078209483,"abstract hand-painted acrylic painting on canvas, visible brush strokes, rich paint texture, expressive abstract composition, painterly, no objects, no figures, no text, no lettering, bold saturated colors, heavy impasto thick paint, high contrast, energetic expressive strokes, fragmented brush marks, sharp broken edges, paint splatter texture, glitch-like fragmentation but painterly, circular swirling composition, spiral brush motion, radial energy around a center, subtle rhythmic structure around 2.08 Hz, some repeated motifs","photorealistic, realistic, portrait, faces, people, text, typography, watermark, logo, 3d render, cartoon, anime, low quality, blurry"
Gesture as a brush 2026-03-14 09-53-54,./data/star/Gesture as a brush 2026-03-14 09-53-54,star,12.196155258939221,119.53873380393748,2.4069201785744467,1.500185827366186,6.218313903343437,16.242478045,4.6213348861622645,29.96881980749423,119.53873380325334,1357.9541994147698,1.473566610431473,11.021199957435677,166.0,145.0,106.0,0.19735073285599034,"abstract hand-painted acrylic painting on canvas, visible brush strokes, rich paint texture, expressive abstract composition, painterly, no objects, no figures, no text, no lettering, bold saturated colors, heavy impasto thick paint, high contrast, energetic expressive strokes, fragmented brush marks, sharp broken edges, paint splatter texture, glitch-like fragmentation but painterly, circular swirling composition, spiral brush motion, radial energy around a center, subtle rhythmic structure around 1.50 Hz, some repeated motifs","photorealistic, realistic, portrait, faces, people, text, typography, watermark, logo, 3d render, cartoon, anime, low quality, blurry"
Gesture as a brush 2026-03-14 09-54-33,./data/star/Gesture as a brush 2026-03-14 09-54-33,star,12.398324393364078,150.88600792386848,2.7272696147116395,1.87942651930961,3.362233246522486,17.244554168333,4.753772090859345,28.084239492650855,150.8859959290975,1045.788747245017,1.7423800431654517,12.525093805182497,173.0,109.0,128.0,0.2199708225049651,"abstract hand-painted acrylic painting on canvas, visible brush strokes, rich paint texture, expressive abstract composition, painterly, no objects, no figures, no text, no lettering, bold saturated colors, heavy impasto thick paint, high contrast, energetic expressive strokes, fragmented brush marks, sharp broken edges, paint splatter texture, glitch-like fragmentation but painterly, circular swirling composition, spiral brush motion, radial energy around a center, non-periodic gesture, irregular paint distribution","photorealistic, realistic, portrait, faces, people, text, typography, watermark, logo, 3d render, cartoon, anime, low quality, blurry"
Gesture as a brush 2026-03-14 09-55-28,./data/star/Gesture as a brush 2026-03-14 09-55-28,star,14.78106625071502,164.95562109838554,3.0987889869674023,0.2662938552692905,6.099880501820667,15.020547416666789,5.993236492182488,42.663255660129934,164.95561352013956,1486.4202249752082,2.015954890678867,10.521244174320536,118.0,110.0,56.0,0.2096458357060578,"abstract hand-painted acrylic painting on canvas, visible brush strokes, rich paint texture, expressive abstract composition, painterly, no objects, no figures, no text, no lettering, bold saturated colors, heavy impasto thick paint, high contrast, energetic expressive strokes, fragmented brush marks, sharp broken edges, paint splatter texture, glitch-like fragmentation but painterly, circular swirling composition, spiral brush motion, radial energy around a center, subtle rhythmic structure around 0.27 Hz, some repeated motifs","photorealistic, realistic, portrait, faces, people, text, typography, watermark, logo, 3d render, cartoon, anime, low quality, blurry"
Gesture as a brush 2026-03-14 09-55-56,./data/star/Gesture as a brush 2026-03-14 09-55-56,star,11.532059597986633,106.83310126525643,2.276183631137392,1.2618749603513195,6.136973466281638,18.275042791666998,4.130641669663822,26.935243878574344,106.83310114027849,768.1543736969476,1.4660470693283976,12.358253063626222,177.0,99.0,130.0,0.1973787606281023,"abstract hand-painted acrylic painting on canvas, visible brush strokes, rich paint texture, expressive abstract composition, painterly, no objects, no figures, no text, no lettering, bold saturated colors, heavy impasto thick paint, high contrast, energetic expressive strokes, fragmented brush marks, sharp broken edges, paint splatter texture, glitch-like fragmentation but painterly, circular swirling composition, spiral brush motion, radial energy around a center, subtle rhythmic structure around 1.26 Hz, some repeated motifs","photorealistic, realistic, portrait, faces, people, text, typography, watermark, logo, 3d render, cartoon, anime, low quality, blurry"
Gesture as a brush 2026-03-14 09-56-25,./data/star/Gesture as a brush 2026-03-14 09-56-25,star,14.134558878810198,131.248958282202,3.0266934709605655,1.086913694976696,5.072036301393492,17.6043524166681,5.271751991953073,31.466877449915636,131.24895567779117,815.5902290804638,1.6560166943379881,9.423715827980693,163.0,134.0,64.0,0.2141342716597894,"abstract hand-painted acrylic painting on canvas, visible brush strokes, rich paint texture, expressive abstract composition, painterly, no objects, no figures, no text, no lettering, bold saturated colors, heavy impasto thick paint, high contrast, energetic expressive strokes, fragmented brush marks, sharp broken edges, paint splatter texture, glitch-like fragmentation but painterly, circular swirling composition, spiral brush motion, radial energy around a center, subtle rhythmic structure around 1.09 Hz, some repeated motifs","photorealistic, realistic, portrait, faces, people, text, typography, watermark, logo, 3d render, cartoon, anime, low quality, blurry"
Gesture as a brush 2026-03-14 09-57-01,./data/star/Gesture as a brush 2026-03-14 09-57-01,star,13.671831213293684,181.96021124039805,2.959541431200753,1.8339797194854721,4.055954167326323,26.156272956667,5.671296862146381,34.65424666419888,181.96020863866732,1104.6401762559685,1.6834489687620462,10.693512547533011,235.0,201.0,144.0,0.21647000938006017,"abstract hand-painted acrylic painting on canvas, visible brush strokes, rich paint texture, expressive abstract composition, painterly, no objects, no figures, no text, no lettering, bold saturated colors, heavy impasto thick paint, high contrast, energetic expressive strokes, fragmented brush marks, sharp broken edges, paint splatter texture, glitch-like fragmentation but painterly, circular swirling composition, spiral brush motion, radial energy around a center, subtle rhythmic structure around 1.83 Hz, some repeated motifs","photorealistic, realistic, portrait, faces, people, text, typography, watermark, logo, 3d render, cartoon, anime, low quality, blurry"
Gesture as a brush 2026-03-14 09-57-34,./data/star/Gesture as a brush 2026-03-14 09-57-34,star,13.532033524540218,126.75488781062099,3.207265966837689,0.21603071006162025,5.827421359041561,21.4697690366667,5.465511401558925,30.330562899417735,126.75488679787689,1065.2761295742962,1.7648459839011585,9.48165960151835,173.0,163.0,76.0,0.23701285995074792,"abstract hand-painted acrylic painting on canvas, visible brush strokes, rich paint texture, expressive abstract composition, painterly, no objects, no figures, no text, no lettering, bold saturated colors, heavy impasto thick paint, high contrast, energetic expressive strokes, fragmented brush marks, sharp broken edges, paint splatter texture, glitch-like fragmentation but painterly, circular swirling composition, spiral brush motion, radial energy around a center, subtle rhythmic structure around 0.22 Hz, some repeated motifs","photorealistic, realistic, portrait, faces, people, text, typography, watermark, logo, 3d render, cartoon, anime, low quality, blurry"
Gesture as a brush 2026-03-14 09-58-08,./data/star/Gesture as a brush 2026-03-14 09-58-08,star,10.955432968323448,57.83571379782487,1.6449648860841866,1.0453345611710143,9.833991130902104,16.252540666668,3.3817694233692746,23.888856887800866,57.835711492984956,299.33947092152016,0.9073314128489122,5.638769040458692,181.0,141.0,92.0,0.15015060479036194,"abstract hand-painted acrylic painting on canvas, visible brush strokes, rich paint texture, expressive abstract composition, painterly, no objects, no figures, no text, no lettering, bold saturated colors, heavy impasto thick paint, high contrast, energetic expressive strokes, fragmented brush marks, sharp broken edges, paint splatter texture, glitch-like fragmentation but painterly, mixed stroke directions, subtle curvature in brush movement, rhythmic repetition around 1.05 Hz, layered repeating brush patterns","photorealistic, realistic, portrait, faces, people, text, typography, watermark, logo, 3d render, cartoon, anime, low quality, blurry"
Gesture as a brush 2026-03-14 09-58-39,./data/star/Gesture as a brush 2026-03-14 09-58-39,star,11.788422215858922,95.28625944300528,2.1087709906949437,1.7259786915602164,8.44186982051164,20.268166123332,4.326786498880634,31.61442214627358,95.2862584159942,533.9168714011704,1.438186835048795,9.279069819930944,224.0,144.0,124.0,0.1788849221636409,"abstract hand-painted acrylic painting on canvas, visible brush strokes, rich paint texture, expressive abstract composition, painterly, no objects, no figures, no text, no lettering, bold saturated colors, heavy impasto thick paint, high contrast, energetic expressive strokes, fragmented brush marks, sharp broken edges, paint splatter texture, glitch-like fragmentation but painterly, circular swirling composition, spiral brush motion, radial energy around a center, rhythmic repetition around 1.73 Hz, layered repeating brush patterns","photorealistic, realistic, portrait, faces, people, text, typography, watermark, logo, 3d render, cartoon, anime, low quality, blurry"
Gesture as a brush 2026-03-14 09-59-08,./data/star/Gesture as a brush 2026-03-14 09-59-08,star,17.763373196181824,164.13128070318876,2.89351081398539,1.3700331730699016,6.051661936239486,19.697549624999002,8.73064668147748,46.944988990819226,164.1312806929934,821.1893874576248,1.5974327134164423,7.739056387218074,182.0,129.0,92.0,0.16289196775106024,"abstract hand-painted acrylic painting on canvas, visible brush strokes, rich paint texture, expressive abstract composition, painterly, no objects, no figures, no text, no lettering, bold saturated colors, heavy impasto thick paint, high contrast, energetic expressive strokes, fragmented brush marks, sharp broken edges, paint splatter texture, glitch-like fragmentation but painterly, circular swirling composition, spiral brush motion, radial energy around a center, subtle rhythmic structure around 1.37 Hz, some repeated motifs","photorealistic, realistic, portrait, faces, people, text, typography, watermark, logo, 3d render, cartoon, anime, low quality, blurry"
Gesture as a brush 2026-03-14 09-59-40,./data/star/Gesture as a brush 2026-03-14 09-59-40,star,21.568760187147532,169.1091348695295,4.059792579884044,0.24074299837508184,7.839807499933243,20.759256664999,10.871022037296429,67.79341407641104,169.10913403745576,966.3120058072612,2.3891661993359343,14.043437572480372,210.0,129.0,94.0,0.1882255885118043,"abstract hand-painted acrylic painting on canvas, visible brush strokes, rich paint texture, expressive abstract composition, painterly, no objects, no figures, no text, no lettering, bold saturated colors, heavy impasto thick paint, high contrast, energetic expressive strokes, fragmented brush marks, sharp broken edges, paint splatter texture, glitch-like fragmentation but painterly, circular swirling composition, spiral brush motion, radial energy around a center, subtle rhythmic structure around 0.24 Hz, some repeated motifs","photorealistic, realistic, portrait, faces, people, text, typography, watermark, logo, 3d render, cartoon, anime, low quality, blurry"
Gesture as a brush 2026-03-14 10-00-12,./data/star/Gesture as a brush 2026-03-14 10-00-12,star,16.06431255856186,142.65726258068867,2.592914923094148,1.7487865439215868,5.438639028032668,22.291674085001002,8.58115801064153,59.97804559337219,142.65725942656704,902.9818832724447,1.8021060317051034,10.173141234373704,228.0,190.0,94.0,0.16140839600078521,"abstract hand-painted acrylic painting on canvas, visible brush strokes, rich paint texture, expressive abstract composition, painterly, no objects, no figures, no text, no lettering, bold saturated colors, heavy impasto thick paint, high contrast, energetic expressive strokes, fragmented brush marks, sharp broken edges, paint splatter texture, glitch-like fragmentation but painterly, circular swirling composition, spiral brush motion, radial energy around a center, subtle rhythmic structure around 1.75 Hz, some repeated motifs","photorealistic, realistic, portrait, faces, people, text, typography, watermark, logo, 3d render, cartoon, anime, low quality, blurry"
Gesture as a brush 2026-03-14 10-00-41,./data/star/Gesture as a brush 2026-03-14 10-00-41,star,15.505742023159666,101.68022668987805,2.94012849405106,1.1246850733809692,9.46616103648334,16.884051791666,7.089972186350361,46.97082973360143,101.68022454702252,552.2722581589899,1.4577177321300976,9.905645635822898,151.0,96.0,68.0,0.18961546564298656,"abstract hand-painted acrylic painting on canvas, visible brush strokes, rich paint texture, expressive abstract composition, painterly, no objects, no figures, no text, no lettering, bold saturated colors, heavy impasto thick paint, high contrast, energetic expressive strokes, fragmented brush marks, sharp broken edges, paint splatter texture, glitch-like fragmentation but painterly, circular swirling composition, spiral brush motion, radial energy around a center, rhythmic repetition around 1.12 Hz, layered repeating brush patterns","photorealistic, realistic, portrait, faces, people, text, typography, watermark, logo, 3d render, cartoon, anime, low quality, blurry"
